"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_serror_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","class"
"142141",1,2,12,1,61,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,221,1,1,1,1,1,1,8,2,11,77,10,7,1,1,1,2,1,"normal"
"136212",1,1,10,1,1565,673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,11,1,18,51,20,15,32,61,70,209,35,11,7,5,1,1,38,87,"mscan"
"135484",1200,1,23,1,331,766,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,2,17,2,1,1,1,1,1,1,1,26,69,51,6,8,1,1,1,2,1,"warezmaster"
"127440",1,1,10,9,3,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,2,2,2,1,1,1,1,1,2,67,20,1,3,1,9,76,73,62,"processtable"
"133894",1,1,4,1,117,270,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,32,11,1,1,1,1,1,1,31,60,4,4,4,7,9,1,1,2,1,"normal"
"135445",1,1,11,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,1,2,2,1,1,1,1,7,7,44,4,4,6,6,2,2,2,1,"land"
"142914",1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,6,1,1,2,2,2,4,1,2,5,5,5,3,1,1,1,3,3,"neptune"
"127925",4,1,16,1,1141,1253,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,12,1,1,46,1,45,26,1,2,145,18,8,3,1,1,1,39,1,"mailbomb"
"127675",2993,1,23,1,354,2119,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,2,17,2,1,1,1,1,1,1,1,2,233,20,1,7,1,12,1,13,1,"warezmaster"
"140667",4,1,16,1,380,100,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,7,151,50,82,11,7,9,1,1,2,1,"normal"
"140135",1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200,13,1,1,2,2,17,4,1,2,41,26,3,3,1,1,1,3,3,"neptune"
"126748",1,1,1,1,478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,25,17,11,8,1,49,1,13,1,"normal"
"142554",1,1,11,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,307,17,2,2,1,1,25,3,1,2,102,88,11,8,1,14,27,2,1,"neptune"
"139937",1,1,4,1,291,9518,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,69,4,4,4,31,9,1,1,2,1,"normal"
"141772",1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,6,1,1,2,2,35,5,1,2,5,5,3,3,1,1,1,3,3,"neptune"
"139597",1,1,4,1,17,2370,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,68,13,1,1,1,1,1,1,18,4,4,4,4,5,5,1,1,2,1,"normal"
"131405",1,2,3,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,1,1,1,1,1,1,1,2,43,4,10,8,1,1,1,2,1,"snmpguess"
"130409",1,1,4,1,593,9265,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,17,2,1,1,1,1,1,1,1,7,4,4,4,6,13,1,1,2,1,"normal"
"139972",1,1,52,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,167,38,2,2,1,1,35,5,1,2,12,22,6,3,1,2,2,2,1,"neptune"
"148358",1,1,4,1,155,9572,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,17,26,1,1,1,1,1,1,20,57,4,4,4,31,5,1,1,2,1,"normal"
"141473",1,1,57,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,67,14,2,2,1,1,6,4,1,2,30,6,6,3,1,2,2,2,1,"neptune"
