"","duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_serror_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","class"
"6200",1,3,8,1,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,25,17,10,28,1,1,1,2,1,"normal"
"62260",1,2,12,1,61,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,167,143,1,1,1,1,1,1,1,2,118,19,10,3,1,1,1,2,1,"normal"
"72482",1,2,2,1,190,160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,503,494,1,1,1,1,1,1,1,2,4,4,4,6,1,1,1,2,1,"normal"
"39349",1,2,3,1,21,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,1,1,1,1,1,32,48,1,2,81,44,10,7,1,1,1,2,1,"normal"
"28596",1,1,4,1,69,4239,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,110,8,1,1,1,1,1,1,1,69,4,4,4,31,23,1,1,2,1,"normal"
"80591",1,1,4,1,238,453,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,69,13,1,1,1,1,1,1,1,44,4,4,4,7,9,1,1,2,1,"normal"
"82221",1,2,12,1,30,266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,235,142,1,1,1,1,1,1,8,2,43,4,10,3,1,1,1,2,1,"normal"
"99011",1,1,4,1,8,588,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,32,26,1,1,1,1,1,1,1,2,145,18,10,3,1,1,1,2,1,"normal"
"103193",1,1,4,1,58,3343,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,13,12,1,1,1,1,1,1,1,189,4,4,4,3,5,1,1,2,1,"normal"
"74646",1,1,1,1,519,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,17,2,1,1,1,1,1,1,1,96,102,63,3,96,2,1,1,2,1,"normal"
"71164",1,1,4,1,93,877,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,125,4,4,4,7,3,1,1,2,1,"normal"
"70317",1,1,16,1,772,76,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,15,6,1,50,181,29,55,4,5,1,1,2,1,"normal"
"115727",1,1,4,1,90,2949,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,158,53,1,1,1,1,1,1,1,130,4,4,4,7,5,1,1,2,1,"normal"
"117747",1,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,4,1,1,2,32,1,1,39,58,4,4,4,7,12,1,1,59,38,"normal"
"122535",1,1,4,1,19,4727,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,16,14,1,1,1,1,1,1,38,143,4,4,4,7,9,1,1,2,1,"normal"
"21350",1,1,4,1,239,285,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,17,2,1,1,1,1,1,1,1,7,4,4,4,6,5,1,1,2,1,"normal"
"23563",57,1,16,1,686,1021,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,17,2,1,1,1,1,1,1,1,107,176,82,6,8,9,1,1,2,1,"normal"
"84068",1,1,1,1,336,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,97,15,1,1,1,1,1,1,1,2,106,89,11,32,1,85,82,2,1,"normal"
"30179",1,2,3,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,77,77,5,41,1,1,1,2,1,"normal"
